,web-scraper-order,web-scraper-start-url,type,image_link,image_link-href,award,address,toilet_name,district_name,coords
263,1647935913-3777,https://www.toilet.org.sg/loomapdirectory,Tourist Attraction,Sentosa Palawan Beach (East),https://www.toilet.org.sg/gallery/243/5-stars-sentosa-palawan-beach-east,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","Palawan Beach Walk, S(098521)",Sentosa Palawan Beach (East),Central District,"(1.2489493, 103.8223737)"
264,1647935913-3754,https://www.toilet.org.sg/loomapdirectory,Private Office,Lum Chang Building,https://www.toilet.org.sg/gallery/71/5-star-toilet-lum-chang-building,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","14, Kung Chong Road, S(159150)",Lum Chang Building,Central District,
265,1647935913-3812,https://www.toilet.org.sg/loomapdirectory,MRT Station,Tampines West MRT Station (DT31),https://www.toilet.org.sg/gallery/250/4-stars-tampines-west-mrt-station-dt31,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","2 Tampines Avenue 4, S(529683)",Tampines West MRT Station (DT31),North East District,"(1.3454606, 103.938236)"
266,1647935913-3939,https://www.toilet.org.sg/loomapdirectory,MRT Station,One North MRT station,https://www.toilet.org.sg/gallery/194/4-star-toilet-one-north-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","9, Ayer Rajah Avenue, S(138647)",One North MRT station,South West District,"(1.2993906, 103.7872862)"
267,1647935913-3686,https://www.toilet.org.sg/loomapdirectory,Market & Food Centre,Sembawang Hill Food Centre,https://www.toilet.org.sg/gallery/21/4-star-toilet-sembawang-hill-food-centre,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","590 Upper Thomson Road, S(574419)",Sembawang Hill Food Centre,Central District,"(1.3723618, 103.8290076)"
268,1647935913-3879,https://www.toilet.org.sg/loomapdirectory,MRT Station,Mattar MRT Station (DT25),https://www.toilet.org.sg/gallery/273/4-star-toilet-mattar-mrt-station-dt25,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","60 Merpati Road, S(379314)",Mattar MRT Station (DT25),South East District,"(1.3272359, 103.8828184)"
269,1647935913-3687,https://www.toilet.org.sg/loomapdirectory,Market & Food Centre,Sims Vista Market & Food Centre,https://www.toilet.org.sg/gallery/338/3-star-toilet-sims-vista-market-and-food-centre,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","Blk 49 Sims Place, S(380049)",Sims Vista Market & Food Centre,Central District,"(1.3170535, 103.8793293)"
270,1647935913-3793,https://www.toilet.org.sg/loomapdirectory,Coffeeshop,Kopitiam @ 231 Sumang Lane,https://www.toilet.org.sg/gallery/423/3-Star-Toilet-Kopitiam-231-Sumang-Lane,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","231, Sumang Lane, S(820231)",Kopitiam @ 231 Sumang Lane,North East District,"(1.4019589, 103.8921939)"
271,1647935913-3876,https://www.toilet.org.sg/loomapdirectory,MRT Station,Lorong Chuan MRT Station,https://www.toilet.org.sg/gallery/142/4-star-toilet-lorong-chuan-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","150 Serangoon Avenue 3, S(554533)",Lorong Chuan MRT Station,South East District,"(1.3517876, 103.8636601)"
272,1647935913-3779,https://www.toilet.org.sg/loomapdirectory,Tourist Attraction,Sentosa Palawan Kidz City,https://www.toilet.org.sg/gallery/56/5-star-toilet-sentosa-palawan-kidz-city,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","31 Beach View, Palawan Kidz City S(098008)",Sentosa Palawan Kidz City,Central District,"(1.2515984, 103.8202485)"
